batch_id,announce_date,effective_date,ticker,security_name,inclusion,reconstructed_running_variable,cutoff,distance_to_cutoff,boundary_side,reference_warning
2022-05-27,2022-05-27,2022-06-10,600848,上海临港,0,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,002007,华兰生物,1,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,603019,中科曙光,1,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601058,赛轮轮胎,1,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,000977,浪潮信息,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,300454,深信服,1,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600732,爱旭股份,1,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601108,财通证券,0,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601216,君正集团,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601236,红塔证券,1,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601990,南京证券,0,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601298,青岛港,1,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601696,中银证券,0,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,002252,上海莱士,1,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,300144,宋城演艺,0,293,300,-7,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,002414,高德红外,1,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,688561,奇安信-U,1,292,300,-8,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600183,生益科技,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,000783,长江证券,0,291,300,-9,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,002064,华峰化学,1,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601162,天风证券,0,290,300,-10,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600109,国金证券,0,289,300,-11,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600219,南山铝业,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600061,国投资本,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,603517,绝味食品,0,288,300,-12,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601231,环旭电子,0,287,300,-13,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,601933,永辉超市,0,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600079,人福医药,0,286,300,-14,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,600763,通策医疗,1,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2022-05-27,2022-05-27,2022-06-10,300676,华大基因,0,285,300,-15,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,605117,德业股份,1,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300957,贝泰妮,1,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,600884,杉杉股份,0,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,601155,新城控股,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,000069,华侨城A,1,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,603290,斯达半导,1,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,688561,奇安信-U,1,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300207,欣旺达,0,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,601615,明阳智能,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,002841,视源股份,1,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300763,锦浪科技,1,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,600763,通策医疗,0,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,000723,美锦能源,0,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300751,迈为股份,1,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,603486,科沃斯,1,293,300,-7,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300601,康泰生物,0,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,600383,金地集团,0,292,300,-8,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,002120,韵达股份,0,291,300,-9,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,002410,广联达,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,002414,高德红外,0,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,603185,弘元绿能,0,290,300,-10,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,002756,永兴材料,0,289,300,-11,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300223,北京君正,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,300769,德方纳米,0,288,300,-12,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,601216,君正集团,0,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,600219,南山铝业,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,688005,容百科技,0,287,300,-13,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2023-11-24,2023-11-24,2023-12-08,002064,华峰化学,0,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,600732,爱旭股份,1,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,601155,新城控股,0,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,000733,振华科技,1,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,300454,深信服,1,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,300496,中科创达,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,600606,绿地控股,0,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,601615,明阳智能,0,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002821,凯莱英,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,300763,锦浪科技,0,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002841,视源股份,1,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,300223,北京君正,1,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,300957,贝泰妮,1,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,688363,华熙生物,1,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,300142,沃森生物,1,293,300,-7,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,603486,科沃斯,0,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,600754,锦江酒店,0,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,603290,斯达半导,0,292,300,-8,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002603,以岭药业,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,000069,华侨城A,0,291,300,-9,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002410,广联达,1,290,300,-10,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,600460,士兰微,1,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002555,三七互娱,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,688561,奇安信-U,0,289,300,-11,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,601236,红塔证券,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,603899,晨光股份,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-05-31,2024-05-31,2024-06-14,002202,金风科技,0,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,600732,爱旭股份,0,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300223,北京君正,0,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300751,迈为股份,0,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002271,东方雨虹,1,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002812,恩捷股份,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002007,华兰生物,1,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002555,三七互娱,1,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002180,纳思达,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,603899,晨光股份,0,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002821,凯莱英,0,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,601799,星宇股份,1,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300450,先导智能,1,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,600132,重庆啤酒,0,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002603,以岭药业,0,293,300,-7,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,688169,石头科技,1,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,601236,红塔证券,1,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,688363,华熙生物,0,292,300,-8,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300454,深信服,0,291,300,-9,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,000800,一汽解放,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002841,视源股份,0,290,300,-10,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300919,中伟股份,0,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300661,圣邦股份,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,000733,振华科技,0,289,300,-11,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002074,国轩高科,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300496,中科创达,0,288,300,-12,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002601,龙佰集团,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300142,沃森生物,0,287,300,-13,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,002410,广联达,0,286,300,-14,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,600161,天坛生物,1,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2024-11-29,2024-11-29,2024-12-13,300957,贝泰妮,0,285,300,-15,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,688599,天合光能,1,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002180,纳思达,1,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,603806,福斯特,1,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002129,TCL中环,1,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,601699,潞安环能,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002459,晶澳科技,1,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002555,三七互娱,0,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002007,华兰生物,0,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,688472,阿特斯,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002812,恩捷股份,0,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,300450,先导智能,0,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002271,东方雨虹,0,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,603659,璞泰来,0,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,601865,福莱特,1,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,000983,山西焦煤,1,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,002709,天赐材料,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,300316,晶盛机电,1,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,000800,一汽解放,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,603833,欧派家居,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,300782,卓胜微,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-05-30,2025-05-30,2025-06-13,600161,天坛生物,1,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,601699,潞安环能,0,300,300,0,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,688169,石头科技,1,301,300,1,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,000983,山西焦煤,1,299,300,-1,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,002129,TCL中环,0,298,300,-2,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,002459,晶澳科技,1,302,300,2,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,300661,圣邦股份,1,303,300,3,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,601865,福莱特,0,297,300,-3,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,300782,卓胜微,1,296,300,-4,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,000661,长春高新,1,304,300,4,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,601236,红塔证券,1,305,300,5,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,603806,福斯特,0,295,300,-5,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,600332,白云山,0,306,300,6,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,000800,一汽解放,0,294,300,-6,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,601799,星宇股份,0,293,300,-7,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,000876,新 希 望,1,307,300,7,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,600161,天坛生物,1,292,300,-8,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,688599,天合光能,0,308,300,8,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,300628,亿联网络,1,309,300,9,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,603833,欧派家居,0,291,300,-9,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,002180,纳思达,0,290,300,-10,left_of_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,000786,北新建材,1,310,300,10,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,002601,龙佰集团,1,311,300,11,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,300347,泰格医药,1,312,300,12,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,300896,爱美客,1,313,300,13,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
2025-11-28,2025-11-28,2025-12-12,002252,上海莱士,1,314,300,14,right_or_at_cutoff,L2 公开重建边界参考，只用于采集核对；不能直接复制为 L3 running_variable。
